name,url,note,update date
人口,https://docs.google.com/spreadsheet/pub?key=0AnKwf3jHs-oIdExXNEhTX3NHWHc3a014eEdxWUs1bHc&single=true&gid=0&output=csv,http://www.stat.go.jp/data/nihon/02.htm 総務省「日本の統計 第二章 人口の推移と将来人口」より作成 人口の推移と将来人口（エクセル：62KB） 1920年～2013年まで,6/27/2015
実質GDP,https://docs.google.com/spreadsheet/pub?key=0AnKwf3jHs-oIdGVESWc4OGs2cVJxYVFLaTFZNHhOLVE&single=true&gid=0&output=csv,http://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/2011/qe113/gdemenuja.html  内閣府の国民経済計算。時系列表1次速報値、実質年度。平成12年基準(93SNA)。 (17年基準じゃないので注意）。 データ期間:1980年1-3月期～2011年7-9月期 1次速報値 <2011年11月14日公表> 1980年度から2010年度まで。訂正: 1995年以降は17年基準に変更。http://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/2012/toukei_2012.htmlの「平成6年1-3月期～平成24年10-12月期1次速報値（平成17年基準）」 以下の正式系列に合わせた。http://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/old_keisu/old_keisu_top.html,6/27/2015
国内総生産勘定(暦年),https://docs.google.com/spreadsheet/pub?key=0AnKwf3jHs-oIdFI1WW1IVnRkbFhvdmxRc3FOMC12c1E&single=true&gid=0&output=csv,http://www.esri.cao.go.jp/jp/sna/kakuhou/kekka/h21_kaku/h21_kaku_top.html#c1 内閣府 「国内総生産勘定(生産側及び支出側)（Excel形式：53KB）」より。 1980年～2009年までの暦年。生産および支出側。単位は10億円。,7/5/2012
年齢階級別完全失業率(季節調整済み),https://docs.google.com/spreadsheets/d/1GnHSA-URbJlb2-lkpjd-MwirALuRkOfU1lT4tKKEeaU/export?format=csv,オリジナル http://www.stat.go.jp/data/roudou/longtime/03roudou.htm 総務省「労働力調査」より作成 完全失業率【年齢階級別】（エクセル：548KB）　（昭和28年1月～） を元に、全年齢の揃う1983年からの値だけをアップロード。 2011年3月から8月は仮の数値らしい。季節調整値,6/27/2015
人口推計,https://docs.google.com/spreadsheet/pub?key=0AnKwf3jHs-oIdDljQ20yQzd1SGpFTXYyR3VzRDlUTXc&single=true&gid=0&output=csv,オリジナル http://www.stat.go.jp/data/nihon/02.htm 総務省「日本の統計 第二章 人口の推移と将来人口」より作成 人口の推移と将来人口（エクセル：62KB） 2015年～2105年まで,6/19/2013
CPI,https://docs.google.com/spreadsheets/d/1ZvNGpLik5dUrw3CKYSIHXWe4xCA8L23dmwUYvugxiJw/export?format=csv,"オリジナル: http://www.stat.go.jp/data/cpi/historic.htm 総務省統計局より作成。 「年度平均 （昭和45年度平均～平成23年度平均）」から「中分類指数（昭和45年度～最新年度）」を使用。
2013年4月26日公表",6/27/2013
所得階級別納税者数1989～,https://docs.google.com/spreadsheets/d/1eaEqK_ucbW_7pPUkQskWRjKRcdM_iTSlGtJsRoHbNgY/export?format=csv,オリジナル: http://www.nta.go.jp/kohyo/tokei/kokuzeicho/jikeiretsu/01_01.htm 国税庁申告所得税標本調査結果より作成。 1989以前は階級の取り方が違うので別テーブルとした。 最後の階級は9999万としてあるが、上限以下という意味。,6/28/2016
所得階級別納税者数1975～1988,https://docs.google.com/spreadsheet/pub?key=0AnKwf3jHs-oIdFlvWkYxdG5INUpzVDJpV3ZEUVZwZWc&single=true&gid=0&output=csv,オリジナル: http://www.nta.go.jp/kohyo/tokei/kokuzeicho/jikeiretsu/01_01.htm 国税庁申告所得税標本調査結果より作成。 最後の階級は9999万としてあるが、上限以下という意味。,7/7/2012
名目GDP,https://docs.google.com/spreadsheets/d/1jpNrSJRK7B1pmELyobp83qvM-CqQ-2UT0aHn-sJ7s8c/export?format=csv,"http://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/old_keisu/old_keisu_top.html　に従い、1980〜1993年までは「名目GDP、2000年基準」を、1994年から2005年は「名目GDP、2005年基準」をつなげている。
元データはそれぞれのコメントを参照。実質と同様年度。",6/28/2015
実質GDP、平成17年基準(93SNA),https://docs.google.com/spreadsheet/pub?key=0Ancau1TRtE7ddDgxTGhvQktvYzBNM2JSQnVKQzdyWGc&single=true&gid=0&output=csv,http://www.esri.cao.go.jp/jp/sna/menu.html 内閣府の国民経済計算の年次GDP実額の時系列データ（実質値）より。 1994年度から2011年度まで。平成17年基準。,7/5/2012
